"Город","Название города","Страна","Регион","Справка","Спорный"
"Лод (город)","Лод","Израиль",,"https://ru.wikipedia.org/wiki/Лод",
"Лодейное Поле","Лодейное Поле","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Лодейное_Поле",
"Лодзь","Лодзь","Польша",,"https://ru.wikipedia.org/wiki/Лодзь",
"Лоди","Лоди","Италия",,"https://ru.wikipedia.org/wiki/Лоди",
"Лозанна","Лозанна","Швейцария",,"https://ru.wikipedia.org/wiki/Лозанна",
"Лозовая","Лозовая",,,"https://ru.wikipedia.org/wiki/Лозовая","Да"
"Лойга","Лойга","Россия",,"https://ru.wikipedia.org/wiki/Лойга",
"Локарно","Локарно","Швейцария",,"https://ru.wikipedia.org/wiki/Локарно",
"Ломе","Ломе","Того",,"https://ru.wikipedia.org/wiki/Ломе",
"Ломоносов","Ломоносов","Россия","Санкт-Петербург","https://ru.wikipedia.org/wiki/Ломоносов_(город)",
"Лонгйир","Лонгйир","Норвегия",,"https://ru.wikipedia.org/wiki/Лонгйир",
"Лондон","Лондон","Великобритания",,"https://ru.wikipedia.org/wiki/Лондон",
"Лос-Анджелес","Лос-Анджелес","США",,"https://ru.wikipedia.org/wiki/Лос-Анджелес",
"Лосино-Петровский","Лосино-Петровский","Россия","Московская область","https://ru.wikipedia.org/wiki/Лосино-Петровский",
"Лотошино","Лотошино","Россия",,"https://ru.wikipedia.org/wiki/Лотошино",
"Лохья","Лохья","Финляндия",,"https://ru.wikipedia.org/wiki/Лохья",
"Лоян","Лоян","Китай",,"https://ru.wikipedia.org/wiki/Лоян",
"Луанда","Луанда","Ангола",,"https://ru.wikipedia.org/wiki/Луанда",
"Луга","Луга","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Луга",
"Лугано (город)","Лугано","Швейцария",,"https://ru.wikipedia.org/wiki/Лугано",
"Луганск","Луганск",,,"https://ru.wikipedia.org/wiki/Луганск","Да"
"Луза","Луза","Россия","Кировская область","https://ru.wikipedia.org/wiki/Луза_(город)",
"Луисвилл","Луисвилл","США",,"https://ru.wikipedia.org/wiki/Луисвилл",
"Луки (Львовская область)","Луки",,,"https://ru.wikipedia.org/wiki/Луки_(Львовская_область)","Да"
"Лукоянов","Лукоянов","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Лукоянов",
"Луксор (город)","Луксор","Египет",,"https://ru.wikipedia.org/wiki/Луксор",
"Лумбуши","Лумбуши","Россия",,"https://ru.wikipedia.org/wiki/Лумбуши",
"Лунд","Лунд","Швеция",,"https://ru.wikipedia.org/wiki/Лунд",
"Лусака","Лусака","Замбия",,"https://ru.wikipedia.org/wiki/Лусака",
"Лутугино","Лутугино",,,"https://ru.wikipedia.org/wiki/Лутугино","Да"
"Луховицы","Луховицы","Россия","Московская область","https://ru.wikipedia.org/wiki/Луховицы",
"Луцк","Луцк",,,"https://ru.wikipedia.org/wiki/Луцк","Да"
"Лучегорск","Лучегорск","Россия",,"https://ru.wikipedia.org/wiki/Лучегорск",
"Лучжоу","Лучжоу","Китай",,"https://ru.wikipedia.org/wiki/Лучжоу",
"Лысково","Лысково","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Лысково",
"Лысьва","Лысьва","Россия","Пермский край","https://ru.wikipedia.org/wiki/Лысьва",
"Лыткарино","Лыткарино","Россия","Московская область","https://ru.wikipedia.org/wiki/Лыткарино",
"Лыхны","Лыхны","Абхазия/ Грузия",,"https://ru.wikipedia.org/wiki/Лыхны",
"Львов","Львов",,,"https://ru.wikipedia.org/wiki/Львов","Да"
"Льгов","Льгов","Россия","Курская область","https://ru.wikipedia.org/wiki/Льгов",
"Льеж","Льеж","Бельгия",,"https://ru.wikipedia.org/wiki/Льеж",
"Льейда","Льейда","Испания",,"https://ru.wikipedia.org/wiki/Льейда",
"Льорет-де-Мар","Льорет-де-Мар","Испания",,"https://ru.wikipedia.org/wiki/Льорет-де-Мар",
"Любань","Любань","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Любань_(Ленинградская_область)",
"Люберцы","Люберцы","Россия","Московская область","https://ru.wikipedia.org/wiki/Люберцы",
"Любим","Любим","Россия","Ярославская область","https://ru.wikipedia.org/wiki/Любим",
"Люблин","Люблин","Польша",,"https://ru.wikipedia.org/wiki/Люблин",
"Любляна","Любляна","Словения",,"https://ru.wikipedia.org/wiki/Любляна",
"Любомль","Любомль",,,"https://ru.wikipedia.org/wiki/Любомль","Да"
"Люботин","Люботин",,,"https://ru.wikipedia.org/wiki/Люботин","Да"
"Людиново","Людиново","Россия","Калужская область","https://ru.wikipedia.org/wiki/Людиново",
"Люксембург (город)","Люксембург","Люксембург",,"https://ru.wikipedia.org/wiki/Люксембург_(город)",
"Люнебург","Люнебург","Германия",,"https://ru.wikipedia.org/wiki/Люнебург",
"Люттербак","Люттербак","Франция",,"https://ru.wikipedia.org/wiki/Люттербак",
"Люцерн","Люцерн","Швейцария",,"https://ru.wikipedia.org/wiki/Люцерн",
"Лянтор","Лянтор","Россия","Ханты-Мансийский АО","https://ru.wikipedia.org/wiki/Лянтор",
"Ляскеля (посёлок)","Ляскеля","Россия",,"https://ru.wikipedia.org/wiki/Ляскеля",
"Маастрихт","Маастрихт","Нидерланды",,"https://ru.wikipedia.org/wiki/Маастрихт",
"Магадан","Магадан","Россия","Магаданская область","https://ru.wikipedia.org/wiki/Магадан",
"Магас","Магас","Россия","Ингушетия","https://ru.wikipedia.org/wiki/Магас",
"Магдебург","Магдебург","Германия",,"https://ru.wikipedia.org/wiki/Магдебург",
"Магнитогорск","Магнитогорск","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Магнитогорск",
"Мадрид","Мадрид","Испания",,"https://ru.wikipedia.org/wiki/Мадрид",
"Мазари-Шариф","Мазари-Шариф","Афганистан",,"https://ru.wikipedia.org/wiki/Мазари-Шариф",
"Мазво-Нидербрюк","Мазво-Нидербрюк","Франция",,"https://ru.wikipedia.org/wiki/Мазво-Нидербрюк",
"Майами","Майами","США",,"https://ru.wikipedia.org/wiki/Майами",
"Майданшахр","Майданшахр","Афганистан",,"https://ru.wikipedia.org/wiki/Майданшахр",
"Майдугури","Майдугури","Нигерия",,"https://ru.wikipedia.org/wiki/Майдугури",
"Майкоп","Майкоп","Россия","Адыгея","https://ru.wikipedia.org/wiki/Майкоп",
"Майнц (город)","Майнц","Германия",,"https://ru.wikipedia.org/wiki/Майнц",
"Майсен","Майсен","Германия",,"https://ru.wikipedia.org/wiki/Майсен",
"Майский","Майский","Россия","Кабардино-Балкария","https://ru.wikipedia.org/wiki/Майский_(Кабардино-Балкария)",
"Макао","Макао","Китай",,"https://ru.wikipedia.org/wiki/Макао",
"Макаров","Макаров","Россия","Сахалинская область","https://ru.wikipedia.org/wiki/Макаров_(город)",
"Макарьев","Макарьев","Россия","Костромская область","https://ru.wikipedia.org/wiki/Макарьев",
"Макеевка","Макеевка",,,"https://ru.wikipedia.org/wiki/Макеевка","Да"
"Макушино","Макушино","Россия","Курганская область","https://ru.wikipedia.org/wiki/Макушино",
"Малага (город)","Малага","Испания",,"https://ru.wikipedia.org/wiki/Малага",
"Малаховка","Малаховка","Россия",,"https://ru.wikipedia.org/wiki/Малаховка",
"Малая Вишера","Малая Вишера","Россия","Новгородская область","https://ru.wikipedia.org/wiki/Малая_Вишера",
"Малгобек","Малгобек","Россия","Ингушетия","https://ru.wikipedia.org/wiki/Малгобек",
"Мале (город)","Мале","Мальдивы",,"https://ru.wikipedia.org/wiki/Мале",
"Малео","Малео","Италия",,"https://ru.wikipedia.org/wiki/Малео",
"Малмыж","Малмыж","Россия","Кировская область","https://ru.wikipedia.org/wiki/Малмыж",
"Малоархангельск","Малоархангельск","Россия","Орловская область","https://ru.wikipedia.org/wiki/Малоархангельск_(Орловская_область)",
"Малоярославец","Малоярославец","Россия","Калужская область","https://ru.wikipedia.org/wiki/Малоярославец",
"Мальборк (город)","Мальборк","Польша",,"https://ru.wikipedia.org/wiki/Мальборк",
"Мальмё","Мальмё","Швеция",,"https://ru.wikipedia.org/wiki/Мальмё",
"Мамадыш","Мамадыш","Россия","Татарстан","https://ru.wikipedia.org/wiki/Мамадыш",
"Мамоново","Мамоново","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Мамоново",
"Манагуа","Манагуа","Никарагуа",,"https://ru.wikipedia.org/wiki/Манагуа",
"Манама","Манама","Бахрейн",,"https://ru.wikipedia.org/wiki/Манама",
"Манаус","Манаус","Бразилия",,"https://ru.wikipedia.org/wiki/Манаус",
"Манбидж","Манбидж","Сирия",,"https://ru.wikipedia.org/wiki/Манбидж",
"Мангейм","Мангейм","Германия",,"https://ru.wikipedia.org/wiki/Мангейм",
"Мандалай","Мандалай","Мьянма",,"https://ru.wikipedia.org/wiki/Мандалай",
"Манзини","Манзини","Эсватини",,"https://ru.wikipedia.org/wiki/Манзини",
"Манила","Манила","Филиппины",,"https://ru.wikipedia.org/wiki/Манила",
"Мантурово","Мантурово","Россия","Костромская область","https://ru.wikipedia.org/wiki/Мантурово",
"Манчестер","Манчестер","Англия",,"https://ru.wikipedia.org/wiki/Манчестер",
"Мапуту","Мапуту","Мозамбик",,"https://ru.wikipedia.org/wiki/Мапуту",
"Марави","Марави","Филиппины",,"https://ru.wikipedia.org/wiki/Марави",
"Маракайбо (город)","Маракайбо","Венесуэла",,"https://ru.wikipedia.org/wiki/Маракайбо_(город)",
"Марбелья","Марбелья","Испания",,"https://ru.wikipedia.org/wiki/Марбелья",
"Мариб (город)","Мариб","Йемен",,"https://ru.wikipedia.org/wiki/Мариб",
"Мариинск","Мариинск","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Мариинск",
"Мариинский Посад","Мариинский Посад","Россия","Чувашия","https://ru.wikipedia.org/wiki/Мариинский_Посад",
"Мариуполь","Мариуполь",,,"https://ru.wikipedia.org/wiki/Мариуполь","Да"
"Маркс","Маркс","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Маркс_(город)",
"Марракеш","Марракеш","Марокко",,"https://ru.wikipedia.org/wiki/Марракеш",
"Марсель","Марсель","Франция",,"https://ru.wikipedia.org/wiki/Марсель",
"Мартуни (Нагорный Карабах)","Мартуни","Нагорно-Карабахская Республика/Азербайджан",,"https://ru.wikipedia.org/wiki/Мартуни_(Нагорный_Карабах)","Да"
"Марьинка","Марьинка",,,"https://ru.wikipedia.org/wiki/Марьинка","Да"
"Маскат","Маскат","Оман",,"https://ru.wikipedia.org/wiki/Маскат",
"Матера","Матера","Италия",,"https://ru.wikipedia.org/wiki/Матера",
"Махачкала","Махачкала","Россия","Дагестан","https://ru.wikipedia.org/wiki/Махачкала",
"Махмудраки","Махмудраки","Афганистан",,"https://ru.wikipedia.org/wiki/Махмудраки",
"Мбабане","Мбабане","Эсватини",,"https://ru.wikipedia.org/wiki/Мбабане",
"Мглин","Мглин","Россия","Брянская область","https://ru.wikipedia.org/wiki/Мглин",
"Мегион","Мегион","Россия","Ханты-Мансийский АО","https://ru.wikipedia.org/wiki/Мегион",
"Медвежьегорск","Медвежьегорск","Россия","Карелия","https://ru.wikipedia.org/wiki/Медвежьегорск",
"Медилья","Медилья","Италия",,"https://ru.wikipedia.org/wiki/Медилья",
"Медина","Медина","Саудовская Аравия",,"https://ru.wikipedia.org/wiki/Медина",
"Медичина","Медичина","Италия",,"https://ru.wikipedia.org/wiki/Медичина",
"Медногорск","Медногорск","Россия","Оренбургская область","https://ru.wikipedia.org/wiki/Медногорск",
"Медынь","Медынь","Россия","Калужская область","https://ru.wikipedia.org/wiki/Медынь",
"Межгорье","Межгорье","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Межгорье_(Башкортостан)",
"Междуреченск","Междуреченск","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Междуреченск",
"Мезень","Мезень","Россия","Архангельская область","https://ru.wikipedia.org/wiki/Мезень_(город)",
"Мекка","Мекка","Саудовская Аравия",,"https://ru.wikipedia.org/wiki/Мекка",
"Меленки","Меленки","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Меленки",
"Мелеуз","Мелеуз","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Мелеуз",
"Мелитополь","Мелитополь",,,"https://ru.wikipedia.org/wiki/Мелитополь","Да"
"Мельбурн","Мельбурн","Австралия",,"https://ru.wikipedia.org/wiki/Мельбурн",
"Менделеевск","Менделеевск","Россия","Татарстан","https://ru.wikipedia.org/wiki/Менделеевск",
"Мензелинск","Мензелинск","Россия","Татарстан","https://ru.wikipedia.org/wiki/Мензелинск",
"Мерано","Мерано","Италия",,"https://ru.wikipedia.org/wiki/Мерано",
"Мерефа","Мерефа",,,"https://ru.wikipedia.org/wiki/Мерефа","Да"
"Меса (Аризона)","Меса","США",,"https://ru.wikipedia.org/wiki/Меса_(Аризона)",
"Мессина","Мессина","Италия",,"https://ru.wikipedia.org/wiki/Мессина",
"Мехико","Мехико","Мексика",,"https://ru.wikipedia.org/wiki/Мехико",
"Мец","Мец","Франция",,"https://ru.wikipedia.org/wiki/Мец",
"Мешхед","Мешхед","Иран",,"https://ru.wikipedia.org/wiki/Мешхед",
"Мещовск","Мещовск","Россия","Калужская область","https://ru.wikipedia.org/wiki/Мещовск",
"Мзузу","Мзузу","Малави",,"https://ru.wikipedia.org/wiki/Мзузу",
"Миасс","Миасс","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Миасс",
"Миккели","Миккели","Финляндия",,"https://ru.wikipedia.org/wiki/Миккели",
"Микунь","Микунь","Россия","Коми","https://ru.wikipedia.org/wiki/Микунь",
"Милан","Милан","Италия",,"https://ru.wikipedia.org/wiki/Милан",
"Миллерово","Миллерово","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Миллерово",
"Милстрит","Милстрит","Ирландия",,"https://ru.wikipedia.org/wiki/Милстрит",
"Мингечевир","Мингечевир","Азербайджан",,"https://ru.wikipedia.org/wiki/Мингечевир",
"Минеральные Воды","Минеральные Воды","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Минеральные_Воды",
"Миннеаполис","Миннеаполис","США",,"https://ru.wikipedia.org/wiki/Миннеаполис",
"Минск","Минск","Белоруссия",,"https://ru.wikipedia.org/wiki/Минск",
"Минусинск","Минусинск","Россия","Красноярский край","https://ru.wikipedia.org/wiki/Минусинск",
"Миньяр","Миньяр","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Миньяр",
"Мира (город)","Мира","Турция",,"https://ru.wikipedia.org/wiki/Мира_(город)",
"Мирноград","Мирноград",,,"https://ru.wikipedia.org/wiki/Мирноград","Да"
"Мирный","Мирный","Россия","Якутия","https://ru.wikipedia.org/wiki/Мирный_(Якутия)",
"Миусинск","Миусинск",,,"https://ru.wikipedia.org/wiki/Миусинск","Да"
"Михайлов","Михайлов","Россия","Рязанская область","https://ru.wikipedia.org/wiki/Михайлов_(город)",
"Михайловка","Михайловка","Россия","Волгоградская область","https://ru.wikipedia.org/wiki/Михайловка_(город)",
"Михайловск","Михайловск","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Михайловск_(Ставропольский_край)",
"Мичуринск","Мичуринск","Россия","Тамбовская область","https://ru.wikipedia.org/wiki/Мичуринск",
"Могадишо","Могадишо","Сомали",,"https://ru.wikipedia.org/wiki/Могадишо",
"Могилёв","Могилёв","Белоруссия",,"https://ru.wikipedia.org/wiki/Могилёв",
"Могилёв-Подольский","Могилёв-Подольский",,,"https://ru.wikipedia.org/wiki/Могилёв-Подольский","Да"
"Могоча","Могоча","Россия","Забайкальский край","https://ru.wikipedia.org/wiki/Могоча",
"Модена","Модена","Италия",,"https://ru.wikipedia.org/wiki/Модена",
"Модра","Модра","Словакия",,"https://ru.wikipedia.org/wiki/Модра",
"Можайск","Можайск","Россия","Московская область","https://ru.wikipedia.org/wiki/Можайск",
"Можга","Можга","Россия","Удмуртия","https://ru.wikipedia.org/wiki/Можга",
"Моздок","Моздок","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Моздок",
"Мозырь (город)","Мозырь","Белоруссия",,"https://ru.wikipedia.org/wiki/Мозырь",
"Молодечно","Молодечно","Белоруссия",,"https://ru.wikipedia.org/wiki/Молодечно",
"Момбаса","Момбаса","Кения",,"https://ru.wikipedia.org/wiki/Момбаса",
"Монктон","Монктон","Канада",,"https://ru.wikipedia.org/wiki/Монктон",
"Монпелье","Монпелье","Франция",,"https://ru.wikipedia.org/wiki/Монпелье",
"Монреаль","Монреаль","Канада",,"https://ru.wikipedia.org/wiki/Монреаль",
"Монте-Карло","Монте-Карло","Монако",,"https://ru.wikipedia.org/wiki/Монте-Карло",
"Монтевидео","Монтевидео","Уругвай",,"https://ru.wikipedia.org/wiki/Монтевидео",
"Монтелеоне-ди-Пулья","Монтелеоне-ди-Пулья","Италия",,"https://ru.wikipedia.org/wiki/Монтелеоне-ди-Пулья",
"Монтеррей","Монтеррей","Мексика",,"https://ru.wikipedia.org/wiki/Монтеррей",
"Монторо","Монторо","Испания",,"https://ru.wikipedia.org/wiki/Монторо",
"Монтрё","Монтрё","Швейцария",,"https://ru.wikipedia.org/wiki/Монтрё",
"Монца","Монца","Италия",,"https://ru.wikipedia.org/wiki/Монца",
"Мончегорск","Мончегорск","Россия","Мурманская область","https://ru.wikipedia.org/wiki/Мончегорск",
"Морелия","Морелия","Мексика",,"https://ru.wikipedia.org/wiki/Морелия",
"Морозовск","Морозовск","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Морозовск",
"Моршанск","Моршанск","Россия","Тамбовская область","https://ru.wikipedia.org/wiki/Моршанск",
"Мосальск","Мосальск","Россия","Калужская область","https://ru.wikipedia.org/wiki/Мосальск",
"Москва","Москва","Россия","Москва","https://ru.wikipedia.org/wiki/Москва",
"Мосул","Мосул","Ирак",,"https://ru.wikipedia.org/wiki/Мосул",
"Мстиславль (город)","Мстиславль","Белоруссия",,"https://ru.wikipedia.org/wiki/Мстиславль",
"Муара","Муара","Бруней",,"https://ru.wikipedia.org/wiki/Муара",
"Муданьцзян","Муданьцзян","Китай",,"https://ru.wikipedia.org/wiki/Муданьцзян",
"Мукачево","Мукачево",,,"https://ru.wikipedia.org/wiki/Мукачево","Да"
"Мумбаи","Мумбаи","Индия",,"https://ru.wikipedia.org/wiki/Мумбаи",
"Мур (Оклахома)","Мур","США",,"https://ru.wikipedia.org/wiki/Мур_(Оклахома)",
"Муравленко","Муравленко","Россия","Ямало-Ненецкий АО","https://ru.wikipedia.org/wiki/Муравленко",
"Мураши","Мураши","Россия","Кировская область","https://ru.wikipedia.org/wiki/Мураши",
"Мурино","Мурино","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Мурино",
"Мурманск","Мурманск","Россия","Мурманская область","https://ru.wikipedia.org/wiki/Мурманск",
"Муром","Муром","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Муром",
"Мурьес","Мурьес","Франция",,"https://ru.wikipedia.org/wiki/Мурьес",
"Мценск","Мценск","Россия","Орловская область","https://ru.wikipedia.org/wiki/Мценск",
"Мыски","Мыски","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Мыски",
"Мысра","Мысра","Абхазия/ Грузия",,"https://ru.wikipedia.org/wiki/Мысра",
"Мытищи","Мытищи","Россия","Московская область","https://ru.wikipedia.org/wiki/Мытищи",
"Мышкин","Мышкин","Россия","Ярославская область","https://ru.wikipedia.org/wiki/Мышкин",
"Мюнхен","Мюнхен","Германия",,"https://ru.wikipedia.org/wiki/Мюнхен",
"Мядининкай","Мядининкай","Литва",,"https://ru.wikipedia.org/wiki/Мядининкай",
"Набережные Челны","Набережные Челны","Россия","Татарстан","https://ru.wikipedia.org/wiki/Набережные_Челны",
"Навашино","Навашино","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Навашино",
"Наволоки","Наволоки","Россия","Ивановская область","https://ru.wikipedia.org/wiki/Наволоки",
"Нагано","Нагано","Япония",,"https://ru.wikipedia.org/wiki/Нагано",
"Нагасаки","Нагасаки","Япония",,"https://ru.wikipedia.org/wiki/Нагасаки",
"Нагоя","Нагоя","Япония",,"https://ru.wikipedia.org/wiki/Нагоя",
"Надым","Надым","Россия","Ямало-Ненецкий АО","https://ru.wikipedia.org/wiki/Надым",
"Назаре","Назаре","Португалия",,"https://ru.wikipedia.org/wiki/Назаре",
"Назарет (город)","Назарет","Израиль",,"https://ru.wikipedia.org/wiki/Назарет",
"Назарово","Назарово","Россия","Красноярский край","https://ru.wikipedia.org/wiki/Назарово_(Красноярский_край)",
"Назрань","Назрань","Россия","Ингушетия","https://ru.wikipedia.org/wiki/Назрань",
"Называевск","Называевск","Россия","Омская область","https://ru.wikipedia.org/wiki/Называевск",
"Найроби","Найроби","Кения",,"https://ru.wikipedia.org/wiki/Найроби",
"Накхонратчасима","Накхонратчасима","Таиланд",,"https://ru.wikipedia.org/wiki/Накхонратчасима",
"Нальчик","Нальчик","Россия","Кабардино-Балкария","https://ru.wikipedia.org/wiki/Нальчик",
"Нанкин","Нанкин","Китай",,"https://ru.wikipedia.org/wiki/Нанкин",
"Нант (город)","Нант","Франция",,"https://ru.wikipedia.org/wiki/Нант",
"Нантуэн","Нантуэн","Франция",,"https://ru.wikipedia.org/wiki/Нантуэн",
"Наньпин","Наньпин","Китай",,"https://ru.wikipedia.org/wiki/Наньпин",
"Наньтун","Наньтун","Китай",,"https://ru.wikipedia.org/wiki/Наньтун",
"Нарбон","Нарбон","Франция",,"https://ru.wikipedia.org/wiki/Нарбон",
"Нарва (город, Эстония)","Нарва","Эстония",,"https://ru.wikipedia.org/wiki/Нарва",
"Нариманов","Нариманов","Россия","Астраханская область","https://ru.wikipedia.org/wiki/Нариманов_(город)",
"Наро-Фоминск","Наро-Фоминск","Россия","Московская область","https://ru.wikipedia.org/wiki/Наро-Фоминск",
"Наровчат","Наровчат","Россия",,"https://ru.wikipedia.org/wiki/Наровчат",
"Нарткала","Нарткала","Россия","Кабардино-Балкария","https://ru.wikipedia.org/wiki/Нарткала",
"Нарьян-Мар","Нарьян-Мар","Россия","Ненецкий АО","https://ru.wikipedia.org/wiki/Нарьян-Мар",
"Нассау (Багамские Острова)","Нассау","Багамские Острова",,"https://ru.wikipedia.org/wiki/Нассау_(Багамские_Острова)",
"Наха","Наха","Япония",,"https://ru.wikipedia.org/wiki/Наха",
"Нахалаль","Нахалаль","Израиль",,"https://ru.wikipedia.org/wiki/Нахалаль",
"Нахичевань (город)","Нахичевань","Азербайджан",,"https://ru.wikipedia.org/wiki/Нахичевань",
"Находка","Находка","Россия","Приморский край","https://ru.wikipedia.org/wiki/Находка_(город)",
"Нджамена","Нджамена","Чад",,"https://ru.wikipedia.org/wiki/Нджамена",
"Неаполь","Неаполь","Италия",,"https://ru.wikipedia.org/wiki/Неаполь",
"Невдольск","Невдольск","Россия",,"https://ru.wikipedia.org/wiki/Невдольск",
"Невель","Невель","Россия","Псковская область","https://ru.wikipedia.org/wiki/Невель",
"Невельск","Невельск","Россия","Сахалинская область","https://ru.wikipedia.org/wiki/Невельск",
"Невинномысск","Невинномысск","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Невинномысск",
"Невьянск","Невьянск","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Невьянск",
"Негомбо","Негомбо","Шри-Ланка",,"https://ru.wikipedia.org/wiki/Негомбо",
"Нёйи-сюр-Сен","Нёйи-сюр-Сен","Франция",,"https://ru.wikipedia.org/wiki/Нёйи-сюр-Сен",
"Нелидово","Нелидово","Россия","Тверская область","https://ru.wikipedia.org/wiki/Нелидово",
"Неман","Неман","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Неман_(город)",
"Нембро","Нембро","Италия",,"https://ru.wikipedia.org/wiki/Нембро",
"Нёнокса","Нёнокса","Россия",,"https://ru.wikipedia.org/wiki/Нёнокса",
"Нерехта","Нерехта","Россия","Костромская область","https://ru.wikipedia.org/wiki/Нерехта_(город)",
"Нерчинск","Нерчинск","Россия","Забайкальский край","https://ru.wikipedia.org/wiki/Нерчинск",
"Нерюнгри","Нерюнгри","Россия","Якутия","https://ru.wikipedia.org/wiki/Нерюнгри",
"Несауалькойотль (город)","Несауалькойотль","Мексика",,"https://ru.wikipedia.org/wiki/Несауалькойотль_(город)",
"Несби (Новая Зеландия)","Несби","Новая Зеландия",,"https://ru.wikipedia.org/wiki/Несби_(Новая_Зеландия)",
"Несвиж","Несвиж","Белоруссия",,"https://ru.wikipedia.org/wiki/Несвиж",
"Нестеров","Нестеров","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Нестеров_(Калининградская_область)",
"Нетенз","Нетенз","Иран",,"https://ru.wikipedia.org/wiki/Нетенз",
"Нетешин","Нетешин",,,"https://ru.wikipedia.org/wiki/Нетешин","Да"
"Нетивот","Нетивот","Израиль",,"https://ru.wikipedia.org/wiki/Нетивот",
"Нефтегорск","Нефтегорск","Россия","Самарская область","https://ru.wikipedia.org/wiki/Нефтегорск_(Самарская_область)",
"Нефтекамск","Нефтекамск","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Нефтекамск",
"Нефтекумск","Нефтекумск","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Нефтекумск",
"Нефтеюганск","Нефтеюганск","Россия","Ханты-Мансийский АО","https://ru.wikipedia.org/wiki/Нефтеюганск",
"Нея","Нея","Россия","Костромская область","https://ru.wikipedia.org/wiki/Нея_(город)",
"Ниамей","Ниамей","Нигер",,"https://ru.wikipedia.org/wiki/Ниамей",
"Нигижма","Нигижма","Россия",,"https://ru.wikipedia.org/wiki/Нигижма",
"Ниен","Ниен",,,"https://ru.wikipedia.org/wiki/Ниеншанц#Ниен",
"Нижневартовск","Нижневартовск","Россия","Ханты-Мансийский АО","https://ru.wikipedia.org/wiki/Нижневартовск",
"Нижнекамск","Нижнекамск","Россия","Татарстан","https://ru.wikipedia.org/wiki/Нижнекамск",
"Нижнеудинск","Нижнеудинск","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Нижнеудинск",
"Нижний Ломов","Нижний Ломов","Россия","Пензенская область","https://ru.wikipedia.org/wiki/Нижний_Ломов",
"Нижний Новгород","Нижний Новгород","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Нижний_Новгород",
"Нижний Тагил","Нижний Тагил","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Нижний_Тагил",
"Нижняя Салда","Нижняя Салда","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Нижняя_Салда",
"Нижняя Тура","Нижняя Тура","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Нижняя_Тура",
"Ниигата (город)","Ниигата","Япония",,"https://ru.wikipedia.org/wiki/Ниигата_(город)",
"Никея","Никея","Турция",,"https://ru.wikipedia.org/wiki/Никея",
"Николаев (Николаевская область)","Николаев",,,"https://ru.wikipedia.org/wiki/Николаев","Да"
"Николаевка (город)","Николаевка",,,"https://ru.wikipedia.org/wiki/Николаевка_(город)","Да"
"Николаевск","Николаевск","Россия","Волгоградская область","https://ru.wikipedia.org/wiki/Николаевск_(Волгоградская_область)",
"Николаевск-на-Амуре","Николаевск-на-Амуре","Россия","Хабаровский край","https://ru.wikipedia.org/wiki/Николаевск-на-Амуре",
"Никольск","Никольск","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Никольск_(Вологодская_область)",
"Никольское","Никольское","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Никольское_(Тосненский_район)",
"Никосия","Никосия","Кипр",,"https://ru.wikipedia.org/wiki/Никосия",
"Ниноцминда","Ниноцминда","Грузия",,"https://ru.wikipedia.org/wiki/Ниноцминда",
"Ницца","Ницца","Франция",,"https://ru.wikipedia.org/wiki/Ницца",
"Новара","Новара","Италия",,"https://ru.wikipedia.org/wiki/Новара",
"Новая Каховка","Новая Каховка",,,"https://ru.wikipedia.org/wiki/Новая_Каховка","Да"
